Validator	Script	TxId	Measured CPU	Measured Memory	Reference CPU	Reference Memory	Message
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	1d6e3c137149a440f35e0efc685b16bfb8052ebcf66ec4ad77e51c11501381c7	1019788165	6539278	845501549	2915344	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	e26c1cddba16e05fd10c34cbdb16ea6acdbac7c8323256c31c90c520ee6a1080	1652343591	9422953	1208270243	4262700	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	f2a8fd2014922f0d8e01541205d47e9bb2d4e54333bdd408cbe7c47c55e73ae4	8954564448	61619960	6118959382	18855232	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	a85173a832db3ea944fafc406dfe3fa3235254897d6d1d0e21bc380147687bd5	743643741	4348763	664026702	2403650	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	1d56060c3b271226064c672a282663643b1b0823471c67737f0b076870331260	2805826419	178139304524	2088059221	7354538	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	33c3efd79d9234a78262b52bc6bbf8124cb321a467dedb278328215167eca455	1515565280	8474135	1376215185	5174032	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	74c67f2f182b9a0a66c62b95d6fac5ace3f7e71ea3abfc52ffbe3ecb93436ea2	1804157079	8707354	1662661436	6380346	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	cdb9d5c233b288a5a9dcfbd8d5c1831a0bb46eec7a26fa31b80ae69d44805efc	2631176677	14082706	2256797609	8254338	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0104010200020000040103020102020004040300030304040400010301040303	1165191805	5924795	1264218338	4918018	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0101010001010101010101000100010100000001010000010001000001000101	18751485708	121395490	11544279731	34854206	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	26e24ee631a6d927ea4fb4fac530cfd82ff7636986014de2d2aaa460ddde0bc3	1222795057	6403653	1183729985	4617174	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	1a573aed5c46d637919ccb5548dfc22a55c9fc38298d567d15ee9f2eea69d89e	2841031864	14049490	2266518325	8288484	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0543a00ba1f63076c1db6bf94c6ff13ae7d266dd7544678743890b0e8e1add63	1726087098	10263536	1675222529	6148586	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	56333d4e413dbf1a665463bf68067f63c118f38f7539b7ba7167d577c0c8b8ce	1902946794	11038492	1739224126	6547556	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	0000020002010200020101020201000100010001020101020201010000020102	1227554976	8377809	974886831	3267600	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	c9efcb705ee057791f7c18a1de79c49f6e40ba143ce0579f1602fd780cabf153	1807489572	8702116	1655267174	6355454	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5f3d46c57a56cef6764f96c9de9677ac6e494dd7a4e368d1c8dd9c1f7a4309a5	1324693677	7946852	1235314209	4468678	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	8c7fdc3da6822b5112074380003524f50fb3a1ce6db4e501df1086773c6c0201	2877302058	14645149	2906147836	11062198	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	dd11ae574eaeab0e9925319768989313a93913fdc347c704ddaa27042757d990	1902423465	11056562	1765826421	6653652	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	1a2f2540121f09321216090b2b1f211e3f020c2c133a1a3c3f3c232a26153a04	3401110192	23253319	2494163348	7904094	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	4c3efd13b6c69112a8a888372d56c86e60c232125976f29b1c3e21d9f537845c	1830978514	9377963	2058820924	7998574	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	04000f0b04051006000e060f09080d0b090d0104050a0b0f0506070f0a070008	2574035325	178139237294	2074532243	7311100	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	5f306b4b24ff2b39dab6cdc9ac6ca9bb442c1dc6f4e7e412eeb5a3ced42fb642	1652219745	9575877	1545147973	5861212	
Semantics	626424dba5741cb1f0a3cab8643da59ffccba351495c4257f9ec3689	b21a4df3b0266ad3481a26d3e3d848aad2fcde89510b29cccce81971e38e0835	3704805698	18172268	3472436403	13239900	
