Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Sha3_256/ExMemory 9800,8.107834513988783e-4,8.038747949785886e-4,8.234506013183695e-4,3.090136680572075e-5,1.306400928997971e-5,5.3092883685673064e-5
Sha3_256/ExMemory 9900,8.114413326985597e-4,8.102705967284186e-4,8.16071827300829e-4,6.943036740150194e-6,3.1591266387308385e-6,1.4354722519333915e-5
Sha3_256/ExMemory 10000,8.41891943664623e-4,8.287486893242272e-4,8.677009472614573e-4,5.7634399122842006e-5,3.0324187818383604e-5,9.467635270287759e-5
Blake2b_256/ExMemory 0,1.616628960533518e-6,1.612257660754356e-6,1.6270702972195154e-6,1.8418943212806833e-8,7.97554523493982e-9,3.804151887113935e-8
Blake2b_256/ExMemory 100,2.7090486248721695e-6,2.661132216352502e-6,2.8043696454786012e-6,2.480027846795559e-7,4.7457533977390736e-8,5.057228043674654e-7
Blake2b_256/ExMemory 200,3.740424729766099e-6,3.7340053653570752e-6,3.749750941068947e-6,2.4907084405523095e-8,1.7600318536179874e-8,3.979349929647896e-8
Blake2b_256/ExMemory 300,4.956033730511999e-6,4.923237603750788e-6,5.043153786132763e-6,1.8382976365885758e-7,9.007424886999613e-8,3.2479224846725894e-7
Blake2b_256/ExMemory 400,5.811535015921449e-6,5.803888545939812e-6,5.82698818456781e-6,3.673988784637006e-8,2.067877341208333e-8,6.255243415542596e-8
Blake2b_256/ExMemory 500,6.5289742187444225e-6,6.493285038013351e-6,6.617514595158469e-6,1.7633573764748403e-7,6.254345007517313e-8,3.415691993202416e-7
Blake2b_256/ExMemory 600,7.391466569712218e-6,7.360321812225984e-6,7.459290642541225e-6,1.860272706043039e-7,3.0792474108299225e-8,3.1494107388120677e-7
