Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
AddInteger/ExMemory 0/ExMemory 0,1.527088438034238e-5,1.5183955721436244e-5,1.545172919411982e-5,3.9283883332977377e-7,2.438568538038165e-7,5.791927193305714e-7
AddInteger/ExMemory 0/ExMemory 0,1.5427611443891483e-5,1.5176211188440025e-5,1.6028109166966844e-5,1.338929271664537e-6,3.85358115958664e-7,2.6956998717256827e-6
AddInteger/ExMemory 0/ExMemory 1,1.715939166358692e-5,1.709253002774883e-5,1.7309838805698995e-5,3.307179032316212e-7,1.559076687730234e-7,6.352225243888422e-7
AddInteger/ExMemory 0/ExMemory 3,1.7411262074822255e-5,1.7199532363866748e-5,1.780787877402186e-5,9.051968799803063e-7,5.065628889702451e-7,1.4106132333990935e-6
AddInteger/ExMemory 0/ExMemory 6,1.7204979950271384e-5,1.7012330561391193e-5,1.7604112484082984e-5,8.939435794855511e-7,5.772872889989761e-7,1.3921981775815923e-6
AddInteger/ExMemory 0/ExMemory 13,1.722600376455556e-5,1.7164891261661e-5,1.727664703130026e-5,1.8243246252273594e-7,1.4235391739818026e-7,2.6475046326670343e-7
AddInteger/ExMemory 0/ExMemory 27,1.7442310778746067e-5,1.7353812935188585e-5,1.7800690611427765e-5,5.261073761376971e-7,1.5427121211617954e-7,1.1675044199777908e-6
AddInteger/ExMemory 0/ExMemory 54,1.769558805312451e-5,1.7557625714556216e-5,1.820179483733102e-5,7.69913239790335e-7,1.46337129544758e-7,1.5984960108912336e-6
AddInteger/ExMemory 0/ExMemory 108,1.7938645238101677e-5,1.7855611165632155e-5,1.809798264255771e-5,3.780729657317674e-7,2.4942589092403803e-7,5.807755723679937e-7
AddInteger/ExMemory 0/ExMemory 216,1.9178831557791638e-5,1.8711409267935596e-5,2.0036074691876493e-5,2.0916126734690785e-6,1.0822650125089958e-6,3.3060497051590215e-6
