Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
DivideInteger/ExMemory 1/ExMemory 264,1.636667800142693e-6,1.5810485065385228e-6,1.709878493552456e-6,2.1268376212977636e-7,1.716860952661258e-7,2.72695565327543e-7
DivideInteger/ExMemory 1/ExMemory 2641,1.9957315874977624e-6,1.927287453050726e-6,2.0441070326250973e-6,1.962982560265387e-7,1.7611013846527173e-7,2.2949318521624474e-7
DivideInteger/ExMemory 1/ExMemory 26416,1.9493632596539735e-6,1.8700383537283067e-6,2.0241828668045025e-6,2.655342277104238e-7,2.2560484936759612e-7,3.099406845028e-7
DivideInteger/ExMemory 1/ExMemory 264160,1.6815711004247058e-6,1.6052721302027242e-6,1.7745406652136689e-6,2.716418846615692e-7,2.047700988594248e-7,3.406841628846079e-7
DivideInteger/ExMemory 1/ExMemory 2641604,1.6238121388669048e-6,1.5716005074026976e-6,1.6958843300000634e-6,1.8855911373943906e-7,1.4344475761318813e-7,2.5627459095798e-7
DivideInteger/ExMemory 3/ExMemory 0,1.7039283245099737e-6,1.6293734796099686e-6,1.8162582305959673e-6,2.773678644553699e-7,2.3805314385780025e-7,3.4846703059271763e-7
DivideInteger/ExMemory 3/ExMemory 0,1.7567587027021121e-6,1.6983727855855365e-6,1.8469780756237488e-6,2.3435705159401662e-7,1.7897637969376337e-7,3.0577441068050916e-7
DivideInteger/ExMemory 3/ExMemory 0,1.9998709469988987e-6,1.9175287720538934e-6,2.0947100621469012e-6,2.790412859320087e-7,2.355068824994301e-7,3.3254472044981574e-7
DivideInteger/ExMemory 3/ExMemory 0,1.883237801454052e-6,1.8310638101118663e-6,1.949711443396716e-6,2.083747170873612e-7,1.7342511461275565e-7,2.7533639346718597e-7
DivideInteger/ExMemory 3/ExMemory 0,1.8517823071629472e-6,1.7982665732397903e-6,1.894643940951713e-6,1.6732573985105387e-7,1.3574860286212596e-7,2.1735030614614216e-7
DivideInteger/ExMemory 3/ExMemory 1,1.8148505689738239e-6,1.763079941151782e-6,1.8873820951410118e-6,2.2202263375571707e-7,1.7416692519917953e-7,2.927272550692091e-7
DivideInteger/ExMemory 3/ExMemory 3,1.713963892375341e-6,1.668892366967784e-6,1.7786635096227273e-6,1.8610034943054486e-7,1.4189288609042627e-7,2.375932935257201e-7
DivideInteger/ExMemory 3/ExMemory 6,1.8385982763292963e-6,1.7800517255968535e-6,1.9295711494634087e-6,2.5327785836857237e-7,1.9895360640936686e-7,3.3407976021315527e-7
DivideInteger/ExMemory 3/ExMemory 13,1.9463078493016165e-6,1.8400088280868588e-6,2.0740293938304965e-6,3.657535380402309e-7,3.189739849613989e-7,4.2636071683925524e-7
DivideInteger/ExMemory 3/ExMemory 26,1.7407609954542254e-6,1.6582769935386936e-6,1.8099083259860385e-6,2.3614565207530968e-7,2.1229219893321462e-7,2.8301853061811236e-7
DivideInteger/ExMemory 3/ExMemory 264,2.0201290447296073e-6,1.948683421430133e-6,2.107128328450144e-6,2.600287650732018e-7,2.244855649314611e-7,2.942591945227106e-7
DivideInteger/ExMemory 3/ExMemory 2641,1.771210574497056e-6,1.7049745909645028e-6,1.8369943451781502e-6,2.2038619701397072e-7,1.7185964465995731e-7,3.020953554451312e-7
DivideInteger/ExMemory 3/ExMemory 26416,1.647490234004338e-6,1.5878145823888515e-6,1.7243043360647193e-6,2.1800352522519943e-7,1.7524929346652236e-7,2.829951857186266e-7
DivideInteger/ExMemory 3/ExMemory 264160,1.642712078067194e-6,1.5906838650456789e-6,1.7116398656576088e-6,1.8319281835753853e-7,1.6256443747171373e-7,2.368748181633583e-7
DivideInteger/ExMemory 3/ExMemory 2641604,1.783295150950319e-6,1.7398290121776392e-6,1.8390314422851494e-6,1.452263444907998e-7,1.0573132965591072e-7,2.0298870728575603e-7
DivideInteger/ExMemory 6/ExMemory 0,1.7510892070886022e-6,1.7178352894615215e-6,1.7963777416567657e-6,1.2653260816537254e-7,1.0143443006380888e-7,1.7550670891673675e-7
DivideInteger/ExMemory 6/ExMemory 0,1.854032521262875e-6,1.7769994968997277e-6,1.956359086449277e-6,2.5559977751061605e-7,2.284811418692045e-7,2.9227684384258174e-7
DivideInteger/ExMemory 6/ExMemory 0,1.9469578842280597e-6,1.89437164221535e-6,2.0382448969288157e-6,2.3486806278392266e-7,2.0030675394277475e-7,2.714547227621308e-7
DivideInteger/ExMemory 6/ExMemory 0,1.8491806231915012e-6,1.7741127462260269e-6,1.9532263577682013e-6,3.092213679441974e-7,2.6624807642303165e-7,3.600062992056232e-7
DivideInteger/ExMemory 6/ExMemory 0,1.7104251538290945e-6,1.6674682254539344e-6,1.7722611236658404e-6,1.5281890257250618e-7,1.0299622427862127e-7,1.9523893596376263e-7
DivideInteger/ExMemory 6/ExMemory 1,1.686672165774521e-6,1.6396798751576192e-6,1.746852200196797e-6,1.609092203837155e-7,1.3616655021202274e-7,1.9386254121438906e-7
DivideInteger/ExMemory 6/ExMemory 3,1.8769181579415331e-6,1.8163249975085821e-6,1.962631797932193e-6,2.3381014729422907e-7,2.0924066272952926e-7,2.7714258145336173e-7
DivideInteger/ExMemory 6/ExMemory 6,1.604718088136171e-6,1.578879701106309e-6,1.6438985151980103e-6,9.936755584222959e-8,6.429166185644653e-8,1.3199413857154388e-7
DivideInteger/ExMemory 6/ExMemory 13,1.7329376775641605e-6,1.684787597466418e-6,1.8021305121102026e-6,2.032956082488577e-7,1.5261337489599423e-7,2.9942201302656244e-7
DivideInteger/ExMemory 6/ExMemory 26,1.8563483329535451e-6,1.8056844503814436e-6,1.927924342697012e-6,2.206871594721296e-7,1.8237846209286668e-7,2.7544755584787947e-7
DivideInteger/ExMemory 6/ExMemory 264,1.8637994711875095e-6,1.785850236431204e-6,1.9251798873338337e-6,2.4374635114984367e-7,2.0015375819542662e-7,2.9370381996273905e-7
DivideInteger/ExMemory 6/ExMemory 2641,1.876748379462657e-6,1.8131819013324633e-6,1.9590796661667784e-6,2.657829733965312e-7,1.9422208869809457e-7,3.573765604616989e-7
DivideInteger/ExMemory 6/ExMemory 26416,1.820002142414613e-6,1.7351592105942143e-6,1.9161142781429704e-6,3.1092841618320705e-7,2.6425823699729746e-7,3.7523034403660827e-7
DivideInteger/ExMemory 6/ExMemory 264160,1.6423014153112305e-6,1.6015862864723133e-6,1.6997526623930456e-6,1.5581854704647172e-7,1.2914629970006467e-7,1.977888663140648e-7
DivideInteger/ExMemory 6/ExMemory 2641604,1.8534497010814959e-6,1.7973490696065242e-6,1.9251506790081647e-6,2.102002555601775e-7,1.7001951987675945e-7,2.5189965351855435e-7
DivideInteger/ExMemory 13/ExMemory 0,1.78162082434501e-6,1.7249562390652744e-6,1.861761982135947e-6,2.056388030139146e-7,1.6952143243836298e-7,2.688925560281696e-7
DivideInteger/ExMemory 13/ExMemory 0,1.7332167078797146e-6,1.7001155051760525e-6,1.7629652596485555e-6,1.02504163042002e-7,8.799468172368123e-8,1.35133533262557e-7
DivideInteger/ExMemory 13/ExMemory 0,1.6673621919331136e-6,1.6214958543994197e-6,1.7224086361777734e-6,1.48689906632266e-7,1.2900016926395024e-7,1.8135799748991228e-7
DivideInteger/ExMemory 13/ExMemory 0,1.70857210305109e-6,1.6521718257622526e-6,1.8050778650218657e-6,2.4351745381534446e-7,1.8213789229370824e-7,3.3537714065063367e-7
